Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
1962	Nov	10-Nov-62	AUSTRALIA	New South Wales	Off Kisma	Boat	3 m [10'] blue whaler	1.0	[nan]	['No injury to occupants. Shark rammed boat as they were pulling in a flathead']	['Fishing']	['N']	[nan]	Autumn
1962	Nov	11-Nov-62	USA	California	Farallon Islands	Unprovoked	White shark, 4.3 m to 4.9m [14' to 16']	1.0	['24']	['Arm, hand, buttock, leg and thigh bitten']	['Spearfishing / Scuba diving (at surface)']	['N']	['M']	Autumn
1962	Nov	29-Nov-62	AUSTRALIA	New South Wales	Sydney	Unprovoked	3 m [10'] shark	2.0	['26']	"[""No injury, shark bit spear & dragged diver 90'""]"	['Spearfishing, Scuba diving']	['N']	['M']	Autumn
1962	Oct	06-Oct-62	USA	California	2 miles off Santa Catalina Island	Invalid	Blue shark bites present 	1.0	['43']	['Drowned due to CO2 poisoning - Post Mortem Scavaging']	"[""Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm""]"	['N']	['F']	Autumn
1962	Oct	14-Oct-62	AUSTRALIA	South Australia	Port Phillip Bay	Boat	Grey nurse shark	1.0	[nan]	"['No injury to occupant, shark ""nibbled"" at boat']"	['Adrift after wave swamped engine']	['N']	['M']	Autumn
1962	Oct	25-Oct-62	MEXICO	Veracruz	Villa del Mar Beach, Veracruz	Unprovoked	2.7 m [9'] shark	1.0	['32']	['FATAL, both legs bitten  ']	['Wading']	['Y']	['M']	Autumn
1962	Sep	02-Sep-62	ITALY	Tyrrhenian Sea	Circeo, Secca del Quadro	Unprovoked	White shark	2.0	['28']	['FATAL, multiple injuries to both legs  ']	['Spearfishing with Scuba gear']	['Y']	['M']	Autumn
1962	Sep	30-Sep-62	BRITISH WEST INDIES	Grand Turk Island	Long Cay	Unprovoked	 Blacktip shark, C. maculipinnis. 1.9 m to 2.1 m [6.5' to 7'] 	1.0	['24']	['Left thigh & hand & speargun bitten']	['Spearfishing']	['N']	['M']	Autumn
1963	Apr	12-Apr-63	USA	Hawaii	Awili, South Kona, Hawai'i	Unprovoked	3.7 to 4.5 m [12' to 15'] shark seen in vicinity	1.0	['15']	['Left foot & leg bitten']	['Surfing ']	['N']	['M']	Spring
1963	Apr	13-Apr-63	AUSTRALIA	Western Australia	Yallingup	Unprovoked	1.8 m to 2.4 m  [6' to 8'] shark	1.0	['25']	['Arm bitten']	"['Surfing on ""chest board"" (boogie board?)']"	['N']	['M']	Spring
1963	Apr	20-Apr-63	USA	US Virgin Islands	St. Thomas, Magens Bay	Unprovoked	"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis"	1.0	['25']	['FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ']	['Swimming']	['Y']	['M']	Spring
1963	Apr	22-Apr-63	AUSTRALIA	New South Wales	Clarence Head	Provoked	Grey nurse shark	1.0	[nan]	['Foot lacerated by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
1963	Aug	Aug-63	DOMINICAN REPUBLIC	Santo Domingo	Rio Haina Port	Unprovoked	8 sharks	2.0	['23 & 26']	"['FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" ']"	['Swimming, when caught in heavy seas']	['Y']	['M']	Summer
1963	Dec	04-Dec-63	NEW BRITAIN	South Coast, East New Britain	Pomio	Unprovoked	Tiger shark	1.0	['22']	['FATAL, leg severely bitten']	['Spearfishing']	['Y']	['M']	Winter
1963	Dec	08-Dec-63	AUSTRALIA	South Australia	55 miles south of Adelaide	Unprovoked	White shark	1.0	['23']	['Torso & hand lacerated']	['Spearfishing']	['N']	['M']	Winter
1963	Dec	20-Dec-63	SOUTH AFRICA	KwaZulu-Natal	Umvoti	Unprovoked	300- to 400-lb Zambesi shark	1.0	['15']	['FATAL, arm severed, leg bitten']	['Splashing in surf']	['Y']	['M']	Winter
1963	Dec	20-Dec-63	SOUTH AFRICA	Western Cape Province	Hartenbos	Unprovoked	White shark, 1.7 m [5.5']	1.0	[nan]	['Foot lacerated']	['Spearfishing']	['N']	['M']	Winter
1963	Dec	21-Dec-63	AUSTRALIA	New South Wales	Woolgoolga, Coffs Harbour	Provoked	Wobbegong shark, 3' 	1.0	[nan]	['7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1963	Dec	22-Dec-63	SOUTH AFRICA	KwaZulu-Natal	Next to West Street groyne, Durban	Provoked	Dusky shark, 1 m 	1.0	['13']	['Foot lacerated  PROVOKED INCIDENT']	['Helping friend land hooked shark']	['N']	['M']	Winter
1963	Dec	26-Dec-63	AUSTRALIA	Queensland	Figtree Ledge, Hervey Bay	Unprovoked	4.3 m [14'], 1000-lb shark	1.0	[nan]	"[""No injury, shark's tail struck his armpit""]"	['Sitting on gunwale of boat']	['N']	['M']	Winter
1963	Dec	26-Dec-63	SOUTH AFRICA	KwaZulu-Natal	Umhlanga Rocks	Unprovoked	1.8 m [6']  shark	1.0	['24']	['Lower leg bitten & foot severed, leg surgically amputated below knee']	['Swimming ']	['N']	['M']	Winter
1963	Dec	29-Dec-63	SOUTH AFRICA	KwaZulu-Natal	Catfish Rock, between Salt Rock & Shaka�s Rock	Unprovoked	Zambesi shark, 1.8 m [6'] 	1.0	['20']	['Right hand & foot severed, thigh & buttock lacerated']	['Standing']	['N']	['F']	Winter
1963	Feb	08-Feb-63	FIJI	Lomaiviti  Island Group	Taibaisa Passage, Gau Island	Unprovoked	White shark, 2.1 m [7'] 	1.0	['28']	['Left arm bitten']	['Spearfishing']	['N']	['M']	Winter
1963	Feb	24-Feb-63	AUSTRALIA	New South Wales	Wombarra Beach near Austinmeer	Unprovoked	Bronze whaler shark, 3 m [10'] 	1.0	['18']	['Left leg lacerated']	['Spearfishing']	['N']	['M']	Winter
1963	Jan	04-Jan-63	AUSTRALIA	South Australia	Off Franklin Island between Streaky Bay & Ceduna	Provoked	White shark, 16', 2,312-lb 	1.0	[nan]	['No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT']	['Shark fishing']	['N']	[nan]	Winter
1963	Jan	06-Jan-63	SOUTH AFRICA	KwaZulu-Natal	Selection Reef, Umdhloti	Unprovoked	"Zambesi shark, 2 m [6'9""] "	1.0	['24']	['Lacerations to right  arm']	['Spearfishing']	['N']	['M']	Winter
1963	Jan	11-Jan-63	SOUTH AFRICA	KwaZulu-Natal	Peace Cottage, Umdhloti	Unprovoked	1 m shark	1.0	['27']	['Lacerations & punctures on left  forearm']	['Free diving, hunting crayfish']	['N']	['M']	Winter
1963	Jan	12-Jan-63	SOUTH AFRICA	Eastern Cape Province	Humewood	Provoked	<1.5 m shark	1.0	[nan]	['Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1963	Jan	14-Jan-63	NEW ZEALAND	North Island	Petone Beach, Wellington	Provoked	Grey nurse shark, 1.8 m [6'] 	1.0	['14']	"[""Minor lacerations to hand and arm after he seized the shark's tail PROVOKED INCIDENT""]"	['Fishing']	['N']	[nan]	Winter
1963	Jan	22-Jan-63	SOUTH AFRICA	Western Cape Province	False Bay	Boat	193-lb shark	1.0	[nan]	['No injury to occupant, shark leapt inside boat']	['Fishing ']	['N']	[nan]	Winter
1963	Jan	28-Jan-63	AUSTRALIA	New South Wales	Sugarloaf Bay, Middle Harbour, Sydney	Unprovoked	Tooth fragments of �whaler� shark were recovered, a bull shark, according to Edwards	1.0	['32']	['FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ']	['Wading']	['Y']	['F']	Winter
1963	Jul	11-Jul-63	USA	Mississippi	Horn Island	Provoked	1.2 m [4'] shark	1.0	['24']	['Cuts on right hand, PROVOKED INCIDENT']	['Fishing, on charter boat Silver Dollar']	['N']	['M']	Summer
1963	Jul	28-Jul-63	FEDERATED STATES OF MICRONESIA	Eastern Caroline Islands	Koop Reef, Truk (Chuuk)	Unprovoked	Tiger shark	1.0	['26']	['Upper left arm bitten']	['Spearfishing']	['N']	['M']	Summer
1963	Jun	01-Jun-63	GREECE	Thessaly	near Trikerion Island	Unprovoked	White shark, 3 m 	1.0	['42']	['FATAL']	['Swimming']	['Y']	['F']	Summer
1963	Jun	01-Jun-63	PAPUA NEW GUINEA	Central Province	Near Fisherman's Island	Provoked	1.8 m [6'] shark	1.0	['30']	['Hooked shark bit his nose, arm and leg PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1963	May	18-May-63	USA	California	San Mateo County	Invalid	Shark involvement not confirmed	1.0	[nan]	['3 lacerations below right knee']	['Swimming']	['N']	['M']	Spring
1963	Nov	04-Nov-63	PALAU	Western Caroline Islands	Koror	Unprovoked	Dooley believed his Injury was caused by stingray (Dasyatidae family)	1.0	['35']	['Left calf lacerated']	['Fishing']	['N']	['M']	Autumn
1963	Nov	12-Nov-63	USA	Florida	8 miles south of Elliot Key, Miami-Dade County	Provoked	Silky shark, 1.9 m [6.5']	1.0	[nan]	['No injury PROVOKED INCIDENT']	['Testing anti-shark cage']	['N']	['M']	Autumn
1963	Nov	14-Nov-63	AUSTRALIA	Queensland	Mermaid Beach	Provoked	"White shark, 15'2"" "	1.0	[nan]	['No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT']	['Catching sharks under government contract']	['N']	['M']	Autumn
1963	Nov	28-Nov-63	FIJI	 Lau Province	Dravuwalu, Totoya Island	Unprovoked	>1.2 m [4'] tiger shark	1.0	['21']	['Elbow bitten']	['Fishing']	['N']	['F']	Autumn
1963	Nov	30-Nov-63	NEW ZEALAND	South Island	Charteris Bay, Lyttleton Harbour	Unprovoked	Possibly a broadnose 7-gill shark	1.0	['20']	['Hand & lower leg severely injured']	['Treading water while alongside capsized yacht']	['N']	['M']	Autumn
1963	Nov	30-Nov-63	PAPUA NEW GUINEA	Gulf Province	Kukipi, 150 miles west of Port Moresby in the Lakekamu River area	Provoked	Tiger shark	1.0	['18']	['Left arm lacerated  PROVOKED INCIDENT']	['Fishing / standing in waist deep water']	['N']	['F']	Autumn
1963	Oct	16-Oct-63	USA	Florida	Biltmore Beach, near Panama City	Unprovoked	500-lb shark	1.0	['28']	['Right thigh &  foot bruised, right calf  lacerated']	['Surf fishing, wading ']	['N']	['M']	Autumn
1963	Sep	10-Sep-63	USA	Florida	Snapper Point Jetty, Miami, Dade County	Provoked	Nurse shark, 1.2 m [4'] 	2.0	['16']	['Minor injury to left forearm  PROVOKED INCIDENT']	['Spearfishing, pulled shark�s tail']	['N']	['M']	Autumn
1963	Sep	13-Sep-63	AUSTRALIA	New South Wales	Wanda Beach	Provoked	1.5 m [5'] shark	1.0	['18']	"['A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT']"	['Surfing']	['N']	['M']	Autumn
1963	Sep	22-Sep-63	SOLOMON ISLANDS	Ysabel Island	Susukana Plantation	Unprovoked	5.5 m [18'] shark	1.0	['30']	['FATAL, right thigh, calf & foot bitten ']	['Spearing fish']	['Y']	['M']	Autumn
1963	Sep	26-Sep-63	USA	Florida	100 miles offshore	Invalid	numerous dusky sharks & a 3 m to 4.6 m [10' to 15'] to  tiger shark	1.0	['25']	"[""Sharks tried to overturn raft and took Mrs. Dumas' body; scavenging by shark/s""]"	['Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.']	['Y']	[nan]	Autumn
1964	Aug	08-Aug-64	USA	Florida	2 miles off Jupiter, Palm Beach County	Unprovoked	Hammerhead shark	1.0	['28']	['No injury, shark hit scuba tank']	['Spearfishing using scuba']	['N']	['M']	Summer
1964	Aug	21-Aug-64	USA	Florida	Panama City, Bay County	Unprovoked	3' shark	2.0	[nan]	['No injury,  bumped repeatedly']	['Swimming']	['N']	['M']	Summer
1964	Aug	23-Aug-64	MEXICO	Guerrero	Acapulco	Unprovoked	1.8 to 2.4 m [6' to 8'] shark	1.0	['19']	['Right thigh bitten']	['Floating on his back in an inner tube']	['N']	['M']	Summer
1964	Aug	Aug-64	PANAMA	San Blas	Off Achutuppu Island near Ailigandi	Unprovoked	Less than 1.2 m [4']	1.0	['21']	['Foot lacerated']	['Free diving / Spearfishingat edge of reef']	['N']	['M']	Summer
1964	Dec	09-Dec-64	PAPUA NEW GUINEA	Bougainville (North Solomons)	Off Sing Village, Buka Island	Unprovoked	2.1 m [7'] shark	1.0	['28']	['Survived']	['Canoe swamped, swimming back to canoe']	['N']	['M']	Winter
1964	Dec	10-Dec-64	AUSTRALIA	New South Wales	Port Jervis	Boat	4.6 m [15'] shark	4.0	[nan]	['No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat']	['Fishing']	['N']	[nan]	Winter
1964	Dec	25-Dec-64	SOUTH AFRICA	Eastern Cape Province	Port Alfred	Unprovoked	Raggedtooth shark 	1.0	['19']	['Hand, ankle & calf lacerated']	['Swimming']	['N']	['M']	Winter
1964	Feb	01-Feb-64	NEW ZEALAND	South Island	Ngatuka Bay, near Picton	Boat	1.8 m [6'] shark	1.0	[nan]	['No injury to occupants , shark nudged oars']	['Rowing']	['N']	[nan]	Winter
1964	Feb	05-Feb-64	NEW ZEALAND	North Island	Hokio Beach, near Levin	Unprovoked	"""sand shark"""	1.0	[nan]	['Right leg & shoulder lacerated']	['Lying in 2 feet of water']	['N']	['M']	Winter
1964	Feb	05-Feb-64	NEW ZEALAND	South Island	St. Clair Beach, Dunedin	Unprovoked	White shark, 3 m to 3.7 m [10' to 12'] 	1.0	['19']	['FATAL, both legs bitten & right leg severed at knee ']	['Swimming']	['Y']	['M']	Winter
1964	Feb	08-Feb-54	SOUTH AFRICA	Western Cape Province	Muizenberg	Unprovoked	White shark, 1.5 m [5'] k	1.0	['25']	['Right ankle lacerated']	['Body boarding']	['N']	['M']	Winter
1964	Feb	10-Feb-64	NEW ZEALAND	North Island	West of Pukerua Bay, Wellington	Unprovoked	White shark, 3 m [10'] 	1.0	['26']	['No injury to diver, shark bit speargun']	['Spearfishing']	['N']	['M']	Winter
1964	Feb	Feb-64	USA	Florida	Palm Beach County	Unprovoked	Hammerhead shark	1.0	['12']	['No injury']	['Floating']	['N']	['M']	Winter
1964	Jan	01-Jan-64	SOUTH AFRICA	Western Cape Province	Mossel Bay	Unprovoked	2.1 m to 2.4 m  [7' to 8'] shark	1.0	[nan]	['Lacerations and puncture wounds in right arm ']	['Diving for sinkers']	['N']	['M']	Winter
1964	Jan	11-Jan-64	USA	California	Southeast Farallon Island	Unprovoked	White shark (tooth fragment recovered)	1.0	['21']	['Leg & thigh bitten']	['Spearfishing / Scuba diving (at surface)']	['N']	['M']	Winter
1964	Jan	18-Jan-64	AUSTRALIA	Western Australia	Hamelin Bay	Unprovoked	Wobbegong	1.0	[nan]	['Arm lacerated']	['Freediving']	['N']	['M']	Winter
1964	Jan	21-Jan-64	SOUTH AFRICA	Western Cape Province	20 m from shore at Strand	Boat	"White shark, 3.6 m [11'9""] "	1.0	[nan]	['No injury to occupants, shark holed  boat']	['Shark watching']	['N']	[nan]	Winter
1964	Jan	Jan-64	NEW ZEALAND	North Island	White Island	Invalid	White shark	1.0	[nan]	['No injury']	['Snorkeling']	['N']	['M']	Winter
1964	Jul	08-Jul-64	USA	Florida	Palm Beach, Palm Beach County	Provoked	white shark	1.0	[nan]	['No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT']	['Tagging sharks']	['N']	['M']	Summer
1964	Jul	16-Jul-64	SOUTH AFRICA	KwaZulu-Natal	Island Rock	Unprovoked	Zambesi shark	1.0	['30']	['No injury, shark charged & impaled itself on spear']	['Searching for remains of  Dr. Marais']	['N']	['M']	Summer
1964	Jun	17-Jun-64	PAPUA NEW GUINEA	New Britain	Near Rabaul	Boat	2.4 m [8'] shark	1.0	[nan]	"[""No injury to occupant, shark lifted canoe's outrigger""]"	['Fishing']	['N']	['M']	Summer
1964	Jun	24-Jun-64	USA	California	Long Beach, Los Angeles County	Boat	2.1 m [7'] shark	1.0	[nan]	['No injury to occupants, shark crashed through windshield of boat']	['Fishing']	['N']	[nan]	Summer
1964	Mar	05-Mar-64	USA	Florida	Fort Lauderdale, Broward County	Unprovoked	1.7 m [5.5'] shark	1.0	['38']	['Minor injury, abdomen abraded when he collided with the shark']	['Skin diving ']	['N']	['M']	Spring
1964	Mar	28-Mar-64	AUSTRALIA	South Australia	Surfers Paradise Beach near Victor Harbour	Unprovoked	1.8 m [6'] shark	1.0	['19']	['Left thigh lacerated']	['Surfing']	['N']	['M']	Spring
1964	Mar	Mar-64	SENEGAL	Cap Vert Peninsula	Bel Air, Dakar	Unprovoked	3 m shark	1.0	[nan]	['Thigh & hand bitten']	['Free diving for shell']	['N']	['M']	Spring
1964	May	08-May-64	FIJI	Vita Levu	Naviti	Unprovoked	Tiger shark	1.0	['35']	['FATAL, buttocks, lower abdomen & genitalia removed  ']	['Spearfishing']	['Y']	['M']	Spring
1964	May	May-64	PANAMA	San Blas Islands	Achutupu, a small island ner Ailigandi	Unprovoked	1.8 m [6'] shark	1.0	['13']	['FATAL, torso / abdomen severely bitten  ']	['Skin diving']	['Y']	['M']	Spring
1964	Nov	13-Nov-64	AUSTRALIA	New South Wales	North Solitary Island, 8 miles from Wolli	Provoked	"White shark, 2.7 m [9'1""], 750-lb "	1.0	['25']	['Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT']	['Filming underwater, carrying powerhead']	['N']	['M']	Autumn
1964	Nov	29-Nov-64	AUSTRALIA	Victoria 	Lady Julia Percy Island	Unprovoked	White shark, 2.4 m [8'] 	1.0	['25']	['Left leg severed']	['Free diving with seals']	['N']	['M']	Autumn
1964	Oct	04-Oct-64	AUSTRALIA	Western Australia	Avalon Beach, near Mandurah, 50 miles south of Perth	Unprovoked	Grey nurse shark, 1.8 m [6']	1.0	['19']	['Abrasions & 11 teethmarks on right lower leg']	['Surfing, but swimming to his board']	['N']	['M']	Autumn
1964	Sep	07-Sep-64	TAIWAN	Northern Taiwan	Tamsui Beach	Unprovoked	1.8 m [6'] shark	1.0	['20']	['Right thigh &  elbow bitten']	['Swimming']	['N']	['M']	Autumn
1965	Apr	04-Apr-65	PALAU	Western Caroline Islands	Koror	Unprovoked	Tiger shark, tooth fragment recovered	1.0	['8']	['Right leg bitten']	['Walking on reef']	['N']	['M']	Spring
1965	Apr	04-Apr-65	USA	Florida	Juno Beach, Palm Beach County	Unprovoked	Blacktip or spinner shark	1.0	['17']	['Left hand punctured & lacerated']	['Paddling on surfboard']	['N']	['M']	Spring
1965	Apr	10-Apr-65	USA	Florida	American Shoals off Key West	Unprovoked	White shark, 10' to 12' 	1.0	['28']	['Left hand severely lacerated']	['Spearfishing']	['N']	['M']	Spring
1965	Apr	29-Apr-65	USA	Florida	Hobe Sound, Martin County	Unprovoked	Bull shark	1.0	['49']	['Thighs abraded, puncture wounds in dorsal surface of left hand']	[nan]	['N']	['M']	Spring
1965	Dec	10-Dec-65	AUSTRALIA	South Australia	Cape Jervis	Boat	15' shark	1.0	[nan]	['No injury to occupants. Shark  gouged planks of boat']	['Fishing']	['N']	[nan]	Winter
1965	Dec	28-Dec-65	AUSTRALIA	Western Australia	Bathurst Reef, Rottnest Island	Unprovoked	1.8 m [6'] carpet shark	1.0	['40']	['Thigh & swim fin bitten']	['Spearfishing, but standing in knee-deep water']	['N']	['M']	Winter
1965	Feb	04-Feb-65	USA	Massachusetts	Granite Pier, Rockport	Unprovoked	1.2 m [4'] shark	1.0	['18']	['Punctures on left thigh']	['Scuba diving']	['N']	['M']	Winter
1965	Feb	14-Feb-65	SOUTH AFRICA	KwaZulu-Natal	Amatikulu	Unprovoked	1.8 m [6'], 136-kg [300-lb] shark 	1.0	['25']	['Abdomen, buttock, thigh, arm & hand bitten']	['Treading water']	['N']	['M']	Winter
1965	Jan	09-Jan-65	NEW GUINEA	Central Province	Off Gaire Village	Unprovoked	4.9 m [16'] whaler	1.0	['30']	['FATAL']	['Free diving']	['Y']	['M']	Winter
1965	Jan	10-Jan-65	AUSTRALIA	Victoria	East of Station Pier, Port Melbourne	Unprovoked	1.5 m [5'] shark	1.0	[nan]	['Thigh gashed']	['Swimming']	['N']	['M']	Winter
1965	Jan	23-Jan-65	SOUTH AFRICA	KwaZulu-Natal	Country Club Beach, Durban	Unprovoked	White shark, 3.7 m [12'] 	1.0	['22']	['No injury, ski bitten']	['Paddling rescue ski']	['N']	['M']	Winter
1965	Jul	30-Jul-64	BAHAMAS	Bimini Islands	Lerner Marine Lab	Provoked	Lemon shark, 0.5 m	1.0	[nan]	['Chest bitten PROVOKED INCIDENT']	['Attempting to anesthetize shark']	['N']	['M']	Summer
1965	Mar	14-Mar-65	USA	Florida	Pompano Beach, Palm Beach County	Unprovoked	Mako shark	1.0	['16']	['Survived']	['Free diving']	['N']	['M']	Spring
1965	Nov	03-Nov-65	AUSTRALIA	Queensland	Oak Beach	Unprovoked	Grey nurse shark, 2.4 m [8'] 	1.0	['24']	['Puncture wounds to right thigh']	['Surfing']	['N']	['M']	Autumn
1965	Nov	03-Nov-65	PANAMA	Caribbean Sea	Golfo de los Mosquitos	Invalid	Shark involvement not confirmed	1.0	[nan]	['2 life preservers had been bitten by sharks']	['Argentine Air Force C-54']	['Y']	[nan]	Autumn
1965	Nov	21-Nov-65	AUSTRALIA	Queensland	Near Brisbane	Provoked	4.6 m [15'] shark	1.0	['43']	['FATAL PROVOKED INCIDENT']	"[""Fishing from 34' boat when pulled overboard by hooked shark""]"	['Y']	['M']	Autumn
1965	Oct	10-Oct-65	NEW BRITAIN	West coast	Outside the reef off Moputu Village, near Talasea	Unprovoked	2 sharks involved	1.0	['15']	['FATAL']	['Spearfishing, shot a turtle']	['Y']	['M']	Autumn
1965	Oct	16-Oct-65	BAHAMAS	New Providence Island	Nassau	Unprovoked	1.8 m [6'], 180-lb shark	1.0	['32']	['Right arm & right leg bitten']	['Sunbathing on beach when he saw child being attacked by the shark']	['N']	['M']	Autumn
1965	Oct	16-Oct-65	BAHAMAS	New Providence Island	Nassau	Unprovoked	1.8 m [6'], 180-lb shark	2.0	[nan]	['FATAL']	['Playing in the water']	['Y']	['F']	Autumn
1965	Sep	08-Sep-65	MEXICO	Veracruz	Playa Villa del Mar	Unprovoked	300-kg [662-lb] shark	1.0	['23']	['Leg & arm bitten']	[nan]	['N']	['M']	Autumn
1965	Sep	12-Sep-65	PAPUA NEW GUINEA	East Sepik	Moem Village near Wewak	Provoked	0.9 m [3'] shark	1.0	[nan]	['Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT']	['Fishing (rod & line)']	['N']	['M']	Autumn
1965	Sep	21-Sep-65	PAPUA NEW GUINEA	Madang Province	Sek Harbor	Provoked	"""small shark"""	1.0	[nan]	['Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT']	['Spearing fish']	['N']	['M']	Autumn
1966	Aug	13-Aug-66	ITALY	Taranto province	Pulsano, near Taranto	Unprovoked	"""small shark"""	1.0	['21']	['Arm lacerated']	['Attacked shark with fists']	['N']	['M']	Summer
1966	Aug	16-Aug-66	CROATIA	Primorje-Gorski Kotar County 	Bakar	Unprovoked	White shark	1.0	['33']	['FATAL']	['Swimming']	['Y']	['M']	Summer
1966	Aug	23-Aug-66	NEW BRITAIN	Duke of York Islands	Butliwan Village, 15 miles north of Rabaul	Unprovoked	A pack of 6 sharks	1.0	['13', '9']	['FATAL', 'FATAL']	['Swimming', 'Diving into water']	['Y', 'Y']	['F', 'F']	Summer
